iter	RMSE
0	0.710380607
1	0.6848956193
2	0.659921952
3	0.6359767865
4	0.6146422155
5	0.5933410604
6	0.5734385123
7	0.553829666
8	0.5354274968
9	0.5172260535
10	0.5004152175
11	0.4846191492
12	0.4692944597
13	0.45493076
14	0.4420735208
15	0.4303389198
16	0.4185389048
17	0.4072189104
18	0.3964480938
19	0.3866771157
20	0.3776102561
21	0.3682486792
22	0.360314126
23	0.3525611743
24	0.3446655038
25	0.3375136742
26	0.3312781621
27	0.3250158234
28	0.3185040856
29	0.3130319983
30	0.3074912487
31	0.3026008618
32	0.2977137075
33	0.2926616015
34	0.2879532865
35	0.2835613163
36	0.279368051
37	0.2754882851
38	0.2718523056
39	0.2683842858
40	0.2653183428
41	0.2622600457
42	0.2594246239
43	0.2564570557
44	0.2538481242
45	0.251206828
46	0.2485519849
47	0.2462166944
48	0.2440168102
49	0.2420090229
50	0.239938693
51	0.2378932894
52	0.2360245645
53	0.2343985985
54	0.2324231911
55	0.2306232554
56	0.2289763262
57	0.227391363
58	0.2257970635
59	0.2243777076
60	0.2230691072
61	0.2214741468
62	0.2199802997
63	0.218538108
64	0.2173031264
65	0.2162385932
66	0.2149604272
67	0.2137758071
68	0.2125444768
69	0.2115505518
70	0.21055985
71	0.2095635892
72	0.2087100737
73	0.2078037405
74	0.2068237899
75	0.2059880438
76	0.2051737582
77	0.2043287214
78	0.2034216206
79	0.2027160108
80	0.2019300112
81	0.2010500812
82	0.2002998657
83	0.1996045769
84	0.198965527
85	0.1983126259
86	0.1975050619
87	0.196730679
88	0.1960671129
89	0.1954960423
90	0.1948581196
91	0.1942405904
92	0.1936331578
93	0.1929757341
94	0.1923989579
95	0.1918764014
96	0.1914309875
97	0.1907600283
98	0.1902573983
99	0.1896593951
100	0.1891107875
101	0.1884969444
102	0.188076291
103	0.187590809
104	0.1871045478
105	0.1865748674
106	0.1861140533
107	0.1855996091
108	0.1852122626
109	0.184855877
110	0.1844735384
111	0.1838771685
112	0.1834657508
113	0.1830632348
114	0.1827667665
115	0.1823286157
116	0.1820230744
117	0.1817263598
118	0.1814580634
119	0.1809919251
120	0.1806239954
121	0.1803839217
122	0.1800081267
123	0.1797785749
124	0.1794865311
125	0.1791570913
126	0.1786912839
127	0.1781204167
128	0.1778053051
129	0.1775106301
130	0.1771030113
131	0.1767201758
132	0.1764688626
133	0.1760776425
134	0.1756495723
135	0.1752075685
136	0.1750053597
137	0.1747787436
138	0.1744245166
139	0.1741881992
140	0.1739776288
141	0.1737146686
142	0.1733105723
143	0.1730533084
144	0.1727569744
145	0.1725812001
146	0.1722063983
147	0.1721785738
148	0.1719957891
149	0.1717055955
150	0.1714405968
151	0.1712221941
152	0.1711817903
153	0.1708869239
154	0.170637691
155	0.1703195861
156	0.1698061037
157	0.1696252111
158	0.1694377878
159	0.1693450483
160	0.1693060249
161	0.1691172184
162	0.1690245798
163	0.1686530682
164	0.1684842179
165	0.1681762621
166	0.1679344237
167	0.1675344445
168	0.1673218318
169	0.1670351398
170	0.1667368732
171	0.1664774402
172	0.1661916407
173	0.1656710264
174	0.1656288119
175	0.165579051
176	0.1652280067
177	0.1650231892
178	0.1647047508
179	0.1644163398
180	0.1643749512
181	0.1640226258
182	0.1638164717
183	0.1636128934
184	0.1633576641
185	0.1629856099
186	0.1628400695
187	0.16280256
188	0.1627671226
189	0.1625515491
190	0.162194358
191	0.1621571883
192	0.1619298031
193	0.1616821246
194	0.1613549726
195	0.1611826934
196	0.1610882547
197	0.1608351938
198	0.1607982692
199	0.160763604
200	0.1605485029
201	0.1603362963
202	0.1602985202
203	0.1600862218
204	0.1599087728
205	0.1597385818
206	0.1594935599
207	0.1592434751
208	0.1590528735
209	0.1588189515
210	0.1586700656
211	0.1583137273
212	0.1580983921
213	0.1580571028
214	0.1578983597
215	0.1575039758
216	0.1572585699
217	0.1570843528
218	0.1568078289
219	0.1565350807
220	0.1563156293
221	0.1562742537
222	0.1560015953
223	0.1559582313
224	0.1557830298
225	0.1555831645
226	0.1553220839
227	0.1551990831
228	0.1549477216
229	0.1549059454
230	0.1546753109
231	0.1546375759
232	0.1542791856
233	0.1541672263
234	0.1540088195
235	0.1538768812
236	0.1536812335
237	0.1536490639
238	0.1536140274
239	0.1533930168
240	0.1532880661
241	0.1529593837
242	0.1527695798
243	0.1525455455
244	0.1523143331
245	0.1522097607
246	0.1519361193
247	0.1516639973
248	0.1516336051
249	0.1514759971
250	0.151442054
251	0.1512737554
252	0.1510858368
253	0.1510570407
254	0.1508830133
255	0.1507529245
256	0.1505881439
257	0.150556416
258	0.1504063575
259	0.150199076
260	0.1501129563
261	0.150078835
262	0.1498697704
263	0.1498432101
264	0.1496654372
265	0.149462297
266	0.1493521005
267	0.1493225253
268	0.1492230994
269	0.1488700773
270	0.1486603608
271	0.1484569897
272	0.1481744599
273	0.1481456184
274	0.147967224
275	0.1478065911
276	0.1476375205
277	0.147454994
278	0.1473291261
279	0.1473006404
280	0.1471896701
281	0.1471122088
282	0.1470880595
283	0.1469254739
284	0.1467949084
285	0.1466431776
286	0.1464617146
287	0.1462687661
288	0.1461288808
289	0.1460310149
290	0.1460008049
291	0.1459744361
292	0.1458107863
293	0.1457372883
294	0.1454955089
295	0.1453907451
296	0.1453651205
297	0.1452251048
298	0.1451450866
299	0.1449650576
300	0.1448224253
301	0.1446343415
302	0.1444195076
303	0.1442542509
304	0.1440956616
305	0.1439171338
306	0.1437393952
307	0.1435919052
308	0.1435706608
309	0.1434433176
310	0.143246959
311	0.1431328724
312	0.1429339955
313	0.1427371525
314	0.1425395255
315	0.1425154838
316	0.1423265586
317	0.1422098645
318	0.1420214327
319	0.1418783597
320	0.1417192679
321	0.1415152284
322	0.1414920959
323	0.1413295341
324	0.141201136
325	0.1411757728
326	0.1409917161
