iter	Passed	Remaining
0	179	89568
1	184	45950
2	191	31783
3	196	24377
4	199	19778
5	202	16681
6	206	14554
7	209	12892
8	212	11573
9	214	10500
10	216	9612
11	218	8867
12	220	8244
13	222	7736
14	225	7279
15	227	6876
16	229	6524
17	231	6211
18	234	5931
19	237	5694
20	240	5480
21	242	5278
22	245	5090
23	248	4919
24	250	4763
25	254	4633
26	257	4502
27	259	4380
28	262	4267
29	265	4162
30	269	4076
31	273	3993
32	276	3910
33	279	3836
34	283	3770
35	288	3720
36	292	3659
37	295	3596
38	299	3539
39	304	3496
40	308	3450
41	312	3404
42	317	3372
43	321	3333
44	325	3292
45	329	3250
46	334	3220
47	338	3183
48	342	3149
49	346	3116
50	351	3092
51	355	3062
52	359	3032
53	364	3012
54	369	2991
55	374	2970
56	379	2948
57	384	2932
58	389	2911
59	394	2894
60	401	2892
61	407	2875
62	412	2858
63	417	2843
64	421	2822
65	426	2803
66	432	2794
67	437	2776
68	441	2757
69	446	2745
70	451	2726
71	455	2708
72	460	2695
73	465	2677
74	469	2660
75	473	2640
76	478	2627
77	482	2609
78	486	2593
79	490	2576
80	495	2562
81	499	2543
82	502	2525
83	506	2507
84	510	2494
85	514	2478
86	518	2462
87	522	2446
88	527	2433
89	530	2418
90	534	2403
91	539	2390
92	544	2382
93	548	2368
94	552	2353
95	556	2343
96	561	2333
97	565	2321
98	569	2307
99	574	2297
100	578	2284
101	582	2272
102	586	2259
103	591	2250
104	595	2238
105	598	2225
106	602	2213
107	607	2205
108	611	2194
109	615	2182
110	619	2172
111	624	2162
112	628	2150
113	631	2139
114	636	2129
115	640	2119
116	644	2108
117	648	2098
118	653	2092
119	657	2081
120	660	2070
121	664	2059
122	669	2050
123	673	2040
124	676	2029
125	680	2018
126	684	2009
127	688	1999
128	691	1989
129	695	1980
130	700	1972
131	704	1963
132	707	1953
133	711	1943
134	716	1936
135	720	1927
136	723	1917
137	727	1907
138	731	1898
139	735	1890
140	739	1881
141	742	1872
142	746	1864
143	751	1858
144	755	1849
145	759	1840
146	762	1831
147	765	1820
148	769	1811
149	772	1803
150	776	1793
151	780	1787
152	784	1778
153	787	1770
154	791	1761
155	795	1754
156	800	1748
157	804	1741
158	808	1734
159	813	1728
160	817	1720
161	820	1712
162	824	1704
163	828	1697
164	832	1690
165	836	1682
166	840	1675
167	844	1669
168	849	1662
169	852	1655
170	857	1648
171	862	1644
172	865	1636
173	869	1629
174	873	1621
175	878	1616
176	882	1609
177	885	1602
178	889	1594
179	893	1589
180	897	1581
181	901	1574
182	905	1567
183	909	1562
184	913	1556
185	917	1549
186	921	1541
187	925	1536
188	929	1529
189	933	1522
190	937	1516
191	944	1514
192	947	1507
193	951	1500
194	955	1494
195	959	1488
196	963	1482
197	967	1475
198	972	1470
199	976	1464
200	980	1457
201	983	1451
202	988	1445
203	992	1439
204	996	1433
205	1000	1427
206	1004	1421
207	1008	1415
208	1012	1409
209	1015	1402
210	1020	1397
211	1024	1391
212	1027	1384
213	1031	1378
214	1036	1373
215	1040	1367
216	1043	1361
217	1047	1355
218	1052	1350
219	1056	1345
220	1060	1339
221	1064	1332
222	1069	1328
223	1072	1322
224	1076	1315
225	1080	1310
226	1084	1304
227	1088	1298
228	1092	1292
229	1096	1286
230	1100	1281
231	1104	1276
232	1108	1270
233	1112	1264
234	1116	1259
235	1120	1253
236	1124	1247
237	1127	1241
238	1132	1236
239	1135	1230
240	1139	1224
241	1143	1219
242	1149	1215
243	1153	1210
244	1156	1204
245	1160	1198
246	1165	1193
247	1169	1188
248	1172	1182
249	1176	1176
250	1181	1172
251	1185	1167
252	1190	1162
253	1194	1156
254	1200	1152
255	1203	1147
256	1207	1141
257	1212	1137
258	1216	1132
259	1220	1126
260	1224	1121
261	1229	1116
262	1233	1111
263	1237	1106
264	1242	1102
265	1248	1098
266	1252	1092
267	1256	1087
268	1262	1083
269	1266	1079
270	1271	1074
271	1276	1070
272	1281	1065
273	1285	1060
274	1292	1057
275	1297	1053
276	1301	1048
277	1306	1043
278	1311	1038
279	1315	1033
280	1320	1028
281	1325	1024
282	1329	1019
283	1334	1014
284	1342	1012
285	1346	1007
286	1351	1002
